Zip Code,City,County,Type
76104,Fort Worth,Tarrant,Standard
76105,Fort Worth,Tarrant,Standard
76106,Fort Worth,Tarrant,Standard
76107,Fort Worth,Tarrant,Standard
76108,Fort Worth,Tarrant,Standard
76109,Fort Worth,Tarrant,Standard
76110,Fort Worth,Tarrant,Standard
76111,Fort Worth,Tarrant,Standard
76112,Fort Worth,Tarrant,Standard
76113,Fort Worth,Tarrant,P.O. Box
76114,Fort Worth,Tarrant,Standard
76115,Fort Worth,Tarrant,Standard
76116,Fort Worth,Tarrant,Standard
76117,Haltom City,Tarrant,Standard
76118,Fort Worth,Tarrant,Standard
76119,Fort Worth,Tarrant,Standard
76120,Fort Worth,Tarrant,Standard
76121,Fort Worth,Tarrant,P.O. Box
76122,Fort Worth,Tarrant,Unique
76123,Fort Worth,Tarrant,Standard
76124,Fort Worth,Tarrant,P.O. Box
76126,Fort Worth,Tarrant,Standard
76127,Naval Air Station JRB,Tarrant,Standard
76129,Fort Worth,Tarrant,Unique
76130,Fort Worth,Tarrant,Unique
76131,Fort Worth,Tarrant,Standard
76132,Fort Worth,Tarrant,Standard
76133,Fort Worth,Tarrant,Standard
76134,Fort Worth,Tarrant,Standard
76135,Fort Worth,Tarrant,Standard
76136,Fort Worth,Tarrant,P.O. Box
76137,Fort Worth,Tarrant,Standard
76140,Fort Worth,Tarrant,Standard
76147,Fort Worth,Tarrant,P.O. Box
76148,Fort Worth,Tarrant,Standard
76150,Fort Worth,Tarrant,Unique
76155,Fort Worth,Tarrant,Standard
76161,Fort Worth,Tarrant,P.O. Box
76162,Fort Worth,Tarrant,P.O. Box
76163,Fort Worth,Tarrant,P.O. Box
76164,Fort Worth,Tarrant,Standard
76166,Fort Worth,Tarrant,Unique
76177,Fort Worth,Tarrant,Standard
76179,Fort Worth,Tarrant,Standard
76180,North Richland Hills,Tarrant,Standard
76181,Fort Worth,Tarrant,P.O. Box
76182,North Richland Hills,Tarrant,Standard
76185,Fort Worth,Tarrant,P.O. Box
76190,Fort Worth,Tarrant,Unique
76191,Fort Worth,Tarrant,Unique
76192,Fort Worth,Tarrant,Unique
76193,Fort Worth,Tarrant,Unique
76195,Fort Worth,Tarrant,Unique
76196,Fort Worth,Tarrant,Unique
76197,Fort Worth,Tarrant,Unique
76198,Fort Worth,Tarrant,Unique
76199,Fort Worth,Tarrant,Unique
76201,Denton,Denton,Standard
76202,Denton,Denton,P.O. Box
76203,Denton,Denton,P.O. Box
76204,Denton,Denton,P.O. Box
